category,image,label,score,pred
bottle,/Users/mrinalseth13331/Downloads/archive/bottle/test/broken_large/000.png,1,0.30756694078445435,1
bottle,/Users/mrinalseth13331/Downloads/archive/bottle/test/broken_large/001.png,1,0.3249548375606537,1
bottle,/Users/mrinalseth13331/Downloads/archive/bottle/test/broken_large/002.png,1,0.281812459230423,1
bottle,/Users/mrinalseth13331/Downloads/archive/bottle/test/broken_large/003.png,1,0.37470999360084534,1
bottle,/Users/mrinalseth13331/Downloads/archive/bottle/test/broken_large/004.png,1,0.36979299783706665,1
bottle,/Users/mrinalseth13331/Downloads/archive/bottle/test/broken_large/005.png,1,0.2655715346336365,1
bottle,/Users/mrinalseth13331/Downloads/archive/bottle/test/broken_large/006.png,1,0.39342862367630005,1
bottle,/Users/mrinalseth13331/Downloads/archive/bottle/test/broken_large/007.png,1,0.2843863070011139,1
bottle,/Users/mrinalseth13331/Downloads/archive/bottle/test/broken_large/008.png,1,0.3533726930618286,1
bottle,/Users/mrinalseth13331/Downloads/archive/bottle/test/broken_large/009.png,1,0.27041107416152954,1
bottle,/Users/mrinalseth13331/Downloads/archive/bottle/test/broken_large/010.png,1,0.3336029052734375,1
bottle,/Users/mrinalseth13331/Downloads/archive/bottle/test/broken_large/011.png,1,0.2638290822505951,1
bottle,/Users/mrinalseth13331/Downloads/archive/bottle/test/broken_large/012.png,1,0.34227436780929565,1
bottle,/Users/mrinalseth13331/Downloads/archive/bottle/test/broken_large/013.png,1,0.26619064807891846,1
bottle,/Users/mrinalseth13331/Downloads/archive/bottle/test/broken_large/014.png,1,0.3278830349445343,1
bottle,/Users/mrinalseth13331/Downloads/archive/bottle/test/broken_large/015.png,1,0.3482135236263275,1
bottle,/Users/mrinalseth13331/Downloads/archive/bottle/test/broken_large/016.png,1,0.2832803726196289,1
bottle,/Users/mrinalseth13331/Downloads/archive/bottle/test/broken_large/017.png,1,0.33008819818496704,1
bottle,/Users/mrinalseth13331/Downloads/archive/bottle/test/broken_large/018.png,1,0.36300328373908997,1
bottle,/Users/mrinalseth13331/Downloads/archive/bottle/test/broken_large/019.png,1,0.2985149025917053,1
bottle,/Users/mrinalseth13331/Downloads/archive/bottle/test/broken_small/000.png,1,0.16672460734844208,1
bottle,/Users/mrinalseth13331/Downloads/archive/bottle/test/broken_small/001.png,1,0.33964410424232483,1
bottle,/Users/mrinalseth13331/Downloads/archive/bottle/test/broken_small/002.png,1,0.32129913568496704,1
bottle,/Users/mrinalseth13331/Downloads/archive/bottle/test/broken_small/003.png,1,0.3060283064842224,1
bottle,/Users/mrinalseth13331/Downloads/archive/bottle/test/broken_small/004.png,1,0.3665245473384857,1
bottle,/Users/mrinalseth13331/Downloads/archive/bottle/test/broken_small/005.png,1,0.1907980740070343,1
bottle,/Users/mrinalseth13331/Downloads/archive/bottle/test/broken_small/006.png,1,0.30803725123405457,1
bottle,/Users/mrinalseth13331/Downloads/archive/bottle/test/broken_small/007.png,1,0.2599226236343384,1
bottle,/Users/mrinalseth13331/Downloads/archive/bottle/test/broken_small/008.png,1,0.22432053089141846,1
bottle,/Users/mrinalseth13331/Downloads/archive/bottle/test/broken_small/009.png,1,0.2747782766819,1
bottle,/Users/mrinalseth13331/Downloads/archive/bottle/test/broken_small/010.png,1,0.3452794551849365,1
bottle,/Users/mrinalseth13331/Downloads/archive/bottle/test/broken_small/011.png,1,0.2660561203956604,1
bottle,/Users/mrinalseth13331/Downloads/archive/bottle/test/broken_small/012.png,1,0.3473213315010071,1
bottle,/Users/mrinalseth13331/Downloads/archive/bottle/test/broken_small/013.png,1,0.28212279081344604,1
bottle,/Users/mrinalseth13331/Downloads/archive/bottle/test/broken_small/014.png,1,0.20429806411266327,1
bottle,/Users/mrinalseth13331/Downloads/archive/bottle/test/broken_small/015.png,1,0.19215957820415497,1
bottle,/Users/mrinalseth13331/Downloads/archive/bottle/test/broken_small/016.png,1,0.2637975811958313,1
bottle,/Users/mrinalseth13331/Downloads/archive/bottle/test/broken_small/017.png,1,0.3354468047618866,1
bottle,/Users/mrinalseth13331/Downloads/archive/bottle/test/broken_small/018.png,1,0.3842850923538208,1
bottle,/Users/mrinalseth13331/Downloads/archive/bottle/test/broken_small/019.png,1,0.29351601004600525,1
bottle,/Users/mrinalseth13331/Downloads/archive/bottle/test/broken_small/020.png,1,0.3333434760570526,1
bottle,/Users/mrinalseth13331/Downloads/archive/bottle/test/broken_small/021.png,1,0.2978702485561371,1
bottle,/Users/mrinalseth13331/Downloads/archive/bottle/test/contamination/000.png,1,0.28668472170829773,1
bottle,/Users/mrinalseth13331/Downloads/archive/bottle/test/contamination/001.png,1,0.18316832184791565,1
bottle,/Users/mrinalseth13331/Downloads/archive/bottle/test/contamination/002.png,1,0.2402128279209137,1
bottle,/Users/mrinalseth13331/Downloads/archive/bottle/test/contamination/003.png,1,0.12149961292743683,1
bottle,/Users/mrinalseth13331/Downloads/archive/bottle/test/contamination/004.png,1,0.13750547170639038,1
bottle,/Users/mrinalseth13331/Downloads/archive/bottle/test/contamination/005.png,1,0.41588982939720154,1
bottle,/Users/mrinalseth13331/Downloads/archive/bottle/test/contamination/006.png,1,0.27997738122940063,1
bottle,/Users/mrinalseth13331/Downloads/archive/bottle/test/contamination/007.png,1,0.604030966758728,1
bottle,/Users/mrinalseth13331/Downloads/archive/bottle/test/contamination/008.png,1,0.29419857263565063,1
